CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2010064779,3.0,4,2.0,918.0,67,E,4,2,4009.0,40.0,35.0,BERKLEY ST
2010048778,3.0,4,2.0,1166.0,67,S,4,2,1009.0,111.0,25.0,BUSTLETON AV
2010084594,,3,2.0,,67,E,3,4,,,,E HUNTING PARK AV
2010088664,3.0,4,2.0,656.0,67,S,4,2,1.0,61.0,35.0,CITY AV
2010067965,3.0,3,2.0,989.0,67,E,3,2,3012.0,10.0,35.0,LANCASTER AV
2010074430,3.0,3,2.0,0.0,67,N,4,2,1007.0,80.0,35.0,STATE RD
2010032481,,5,1.0,,67,W,5,4,,,25.0,YORK ST
2010088985,3.0,3,2.0,1733.0,67,N,3,2,3017.0,50.0,35.0,FIFTYSECOND ST
2010046344,3.0,4,2.0,1805.0,67,W,4,2,1002.0,11.0,35.0,CHELTENHAM AV
2010084566,,4,2.0,,67,W,3,4,,,,BEAUMONT AV
2010117955,3.0,4,2.0,1703.0,67,S,4,2,3015.0,91.0,35.0,SIXTYTHIRD ST
2010067014,3.0,4,2.0,949.0,67,S,4,2,291.0,141.0,25.0,BROAD ST
2010074630,3.0,3,3.0,1619.0,67,S,3,2,6001.0,201.0,40.0,ROOSEVELT BL
2010032581,3.0,3,2.0,3027.0,67,W,3,2,73.0,41.0,30.0,COTTMAN AV
2010052147,3.0,3,2.0,1179.0,67,W,3,2,13.0,50.0,25.0,BALTIMORE AV
2010040554,3.0,3,2.0,1553.0,67,N,3,2,3009.0,140.0,35.0,RIDGE AV
2010081138,1.0,3,3.0,2384.0,67,E,3,1,676.0,4.0,55.0,VINE ST EX
2010117717,3.0,3,2.0,927.0,67,S,3,2,3017.0,61.0,35.0,FIFTYSECOND ST
2010111476,3.0,4,2.0,552.0,67,S,4,2,611.0,141.0,30.0,BROAD ST
2010074490,,3,2.0,,67,S,4,4,,,25.0,SUMMERDALE AV
2010028156,3.0,3,3.0,0.0,67,N,3,2,6001.0,380.0,45.0,ROOSEVELT BL
2010088908,,4,2.0,,67,N,3,4,,,35.0,TWENTYFIRST ST
2010048771,,3,2.0,,67,S,3,4,,,25.0,BELFIELD AV
