CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2022075663,Y,N,U,Y,3.0,U,Y,Y,Y,1449.0,,,,,,,,N,N,,,,,2
2022042835,U,U,U,U,9.0,U,U,U,U,600.0,,,,,,,,U,U,,,,,2
2022098991,Y,Y,Y,U,1.0,U,U,Y,N,1868.0,,,,,,,,N,N,,,,,1
2022034179,N,U,U,Y,1.0,U,Y,U,U,600.0,,,,,,,,N,N,,,,,1
2022102837,N,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2022081124,Y,Y,Y,Y,1.0,Y,Y,Y,N,1200.0,,,,,,,,N,N,,,,,2
2022098970,N,N,N,Y,0.0,N,N,Y,Y,600.0,,,,,,,,N,N,,,,,1
2022123841,,,,,,,,,,,,,,,,,,,,N,N,N,U,1
2022058987,N,N,U,Y,0.0,N,N,Y,N,107.0,,,,,,,,N,N,,,,,2
2022076687,N,U,U,U,0.0,N,N,U,U,99999.0,,,,,,,,N,N,,,,,1
2022060259,,,,,,,,,,,,,,,,,,,,N,Y,N,N,2
2022078588,N,N,N,Y,2.0,Y,Y,Y,Y,900.0,,,,,,,,N,N,,,,,1
2022038431,N,N,N,Y,1.0,Y,Y,Y,Y,0.0,,,,,,,,N,N,,,,,1
2022102303,Y,U,Y,Y,1.0,U,Y,Y,Y,300.0,,,,,,,,N,N,,,,,2
2022050387,U,U,U,U,9.0,U,U,U,U,99999.0,,,,,,,,N,N,,,,,1
2022070686,Y,N,U,Y,3.0,Y,U,Y,N,1449.0,,,,,,,,N,N,,,,,1
2022043379,Y,Y,Y,Y,2.0,Y,Y,Y,Y,1200.0,,,,,,,,N,N,,,,,1
2022119686,N,N,N,Y,1.0,Y,Y,Y,N,296.0,,,,,,,,N,N,,,,,1
2022065880,N,N,N,N,0.0,N,N,N,Y,1200.0,,,,,,,,N,N,,,,,1
